record_id,year,month,report_date,period_type,geo_level,location_name,region_id,region_name_vn,sector,commodity,sub_item,attribute,value,unit,data_type,source_file,appendix_number,appendix_title,row_number,extraction_confidence,notes,is_aggregated,data_status
56d69cc1-e879-402d-b46e-b3fbb304ef7c,2008,2,2008-02-15,Seasonal,Provincial,cả nước,,,Cultivation,lúa,Đông Xuân,Area_Planted,2180.5,1000_ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL1.md,PL1,TỔNG HỢP KẾT QUẢ SẢN XUẤT NÔNG NGHIỆP,2,0.9,Original text: 1. Gieo cấy lúa đông xuân cả nước,False,Complete
46f2915b-bef9-4919-abe2-b8a586e786a3,2008,2,2008-02-15,Monthly,National,cả nước,,,Cultivation,cây công nghiệp ngắn ngày,,Area_Planted,180.3,1000_ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL1.md,PL1,TỔNG HỢP KẾT QUẢ SẢN XUẤT NÔNG NGHIỆP,14,0.9,Original text: 4. Gieo trồng cây công nghiệp ngắn ngày(,True,Complete
a70f5b83-53ab-45fb-8644-b67b0a514f84,2008,2,2008-02-15,Monthly,National,cả nước,,,Cultivation,khoai lang,,Area_Planted,79.5,1000_ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL1.md,PL1,TỔNG HỢP KẾT QUẢ SẢN XUẤT NÔNG NGHIỆP,12,0.9,Original text: - Khoai lang,True,Complete
6131f14c-f2d2-4275-a01c-548eff395328,2008,2,2008-02-15,Monthly,National,cả nước,,,Cultivation,lạc,,Area_Planted,79.7,1000_ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL1.md,PL1,TỔNG HỢP KẾT QUẢ SẢN XUẤT NÔNG NGHIỆP,16,0.9,Original text: - Lạc,True,Complete
a340b981-1379-4423-b356-1191da6e4cf7,2008,2,2008-02-15,Monthly,National,cả nước,,,Cultivation,,,Area_Planted,398.0,1000_ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL1.md,PL1,TỔNG HỢP KẾT QUẢ SẢN XUẤT NÔNG NGHIỆP,10,0.9,Original text: 3. Gieo trồng màu lương thực(),True,Complete
a8dd4602-11ca-4f44-b002-ee0462db7b31,2008,2,2008-02-15,Monthly,National,cả nước,,,Cultivation,,,Area_Planted,306.7,1000_ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL1.md,PL1,TỔNG HỢP KẾT QUẢ SẢN XUẤT NÔNG NGHIỆP,17,0.9,"Original text: 5. Gieo trồng rau, đậu các loại()",True,Complete
857220ae-be70-457b-a34e-f18c2120e37b,2008,2,2008-02-15,Monthly,National,cả nước,,,Cultivation,sắn,,Area_Planted,50.2,1000_ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL1.md,PL1,TỔNG HỢP KẾT QUẢ SẢN XUẤT NÔNG NGHIỆP,13,0.9,Original text: - Sắn,True,Complete
4cdc2240-3bef-49dc-af94-903a20481edc,2008,2,2008-02-15,Seasonal,Regional,miền nam,,,Cultivation,lúa,Đông Xuân,Area_Harvested,256.7,1000_ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL1.md,PL1,TỔNG HỢP KẾT QUẢ SẢN XUẤT NÔNG NGHIỆP,8,0.9,Original text: 2. Thu hoạch lúa đông xuân ở miền Nam,True,Complete
085a400b-d3b0-4d9a-aaaf-150ac4de8ae5,2008,3,2008-03-15,Seasonal,Provincial,cả nước,,,Cultivation,lúa,Đông Xuân,Area_Planted,2931.7,1000_ha,Actual,2009_03_PHULUC_T03_2009_FINAL_PL1.md,PL1,TỔNG HỢP KẾT QUẢ SẢN XUẤT NÔNG NGHIỆP,2,0.9,Original text: 1. Gieo cấy lúa đông xuân cả nước,False,Complete
1261fb88-75ed-48d5-ae95-8d913bcf9b4e,2008,3,2008-03-15,Monthly,National,cả nước,,,Cultivation,cây công nghiệp ngắn ngày,,Area_Planted,334.5,1000_ha,Actual,2009_03_PHULUC_T03_2009_FINAL_PL1.md,PL1,TỔNG HỢP KẾT QUẢ SẢN XUẤT NÔNG NGHIỆP,15,0.9,Original text: 5. Gieo trồng cây công nghiệp ngắn ngày(*),True,Complete
8f0514b2-0087-4cfb-bafa-dbc42dde6ed5,2008,3,2008-03-15,Monthly,National,cả nước,,,Cultivation,khoai lang,,Area_Planted,92.6,1000_ha,Actual,2009_03_PHULUC_T03_2009_FINAL_PL1.md,PL1,TỔNG HỢP KẾT QUẢ SẢN XUẤT NÔNG NGHIỆP,13,0.9,Original text: - Khoai lang,True,Complete
