Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0112","Maize (corn)","2014","2014","7021","Annual value","SLC","7262000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0112","Maize (corn)","2015","2015","7021","Annual value","SLC","7149000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0112","Maize (corn)","2016","2016","7021","Annual value","SLC","6093000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0112","Maize (corn)","2017","2017","7021","Annual value","SLC","6014000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0112","Maize (corn)","2018","2018","7021","Annual value","SLC","6051780","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0112","Maize (corn)","2019","2019","7021","Annual value","SLC","6198258.7","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0112","Maize (corn)","2020","2020","7021","Annual value","SLC","6451347.9","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0112","Maize (corn)","2021","2021","7021","Annual value","SLC","9488651.4","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0112","Maize (corn)","2022","2022","7021","Annual value","SLC","5771808.2","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0112","Maize (corn)","2023","2023","7021","Annual value","SLC","6408835.6","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01323","Oranges","2008","2008","7021","Annual value","SLC","8063000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01323","Oranges","2009","2009","7021","Annual value","SLC","9072000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01323","Oranges","2010","2010","7021","Annual value","SLC","13644000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01323","Oranges","2011","2011","7021","Annual value","SLC","16208000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01323","Oranges","2012","2012","7021","Annual value","SLC","15496500","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01323","Oranges","2013","2013","7021","Annual value","SLC","16874000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01323","Oranges","2014","2014","7021","Annual value","SLC","19228000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01323","Oranges","2015","2015","7021","Annual value","SLC","20587000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01323","Oranges","2016","2016","7021","Annual value","SLC","20604000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01323","Oranges","2017","2017","7021","Annual value","SLC","20529000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01323","Oranges","2018","2018","7021","Annual value","SLC","20590741","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01323","Oranges","2019","2019","7021","Annual value","SLC","18095035","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01323","Oranges","2020","2020","7021","Annual value","SLC","21111827.2","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01323","Oranges","2021","2021","7021","Annual value","SLC","22477732.8","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01323","Oranges","2022","2022","7021","Annual value","SLC","19704465.1","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01323","Oranges","2023","2023","7021","Annual value","SLC","16976257.3","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0113","Rice","2008","2008","7021","Annual value","SLC","4671000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0113","Rice","2009","2009","7021","Annual value","SLC","5045000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0113","Rice","2010","2010","7021","Annual value","SLC","5389000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0113","Rice","2011","2011","7021","Annual value","SLC","6477000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0113","Rice","2012","2012","7021","Annual value","SLC","6234000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0113","Rice","2013","2013","7021","Annual value","SLC","6157000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0113","Rice","2014","2014","7021","Annual value","SLC","6446000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0113","Rice","2015","2015","7021","Annual value","SLC","6229000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0113","Rice","2016","2016","7021","Annual value","SLC","6342000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0113","Rice","2017","2017","7021","Annual value","SLC","6366000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0113","Rice","2018","2018","7021","Annual value","SLC","6503764","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0113","Rice","2019","2019","7021","Annual value","SLC","6476419.9","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0113","Rice","2020","2020","7021","Annual value","SLC","6781682.3","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0113","Rice","2021","2021","7021","Annual value","SLC","7633349","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0113","Rice","2022","2022","7021","Annual value","SLC","7246927.7","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0113","Rice","2023","2023","7021","Annual value","SLC","7772059.3","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01802","Sugar cane","2008","2008","7021","Annual value","SLC","454700","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01802","Sugar cane","2009","2009","7021","Annual value","SLC","528300","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01802","Sugar cane","2010","2010","7021","Annual value","SLC","712490","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01802","Sugar cane","2011","2011","7021","Annual value","SLC","836666","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01802","Sugar cane","2012","2012","7021","Annual value","SLC","1055969","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01802","Sugar cane","2013","2013","7021","Annual value","SLC","977071","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01802","Sugar cane","2014","2014","7021","Annual value","SLC","924180","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01802","Sugar cane","2015","2015","7021","Annual value","SLC","979366","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01802","Sugar cane","2016","2016","7021","Annual value","SLC","1000031","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01802","Sugar cane","2017","2017","7021","Annual value","SLC","988257","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01802","Sugar cane","2018","2018","7021","Annual value","SLC","898994","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01802","Sugar cane","2019","2019","7021","Annual value","SLC","817388","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01802","Sugar cane","2020","2020","7021","Annual value","SLC","806982.6","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01802","Sugar cane","2021","2021","7021","Annual value","SLC","889016.8","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01802","Sugar cane","2022","2022","7021","Annual value","SLC","933499.9","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01802","Sugar cane","2023","2023","7021","Annual value","SLC","1069901.8","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01530","Sweet potatoes","2008","2008","7021","Annual value","SLC","3000000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01530","Sweet potatoes","2009","2009","7021","Annual value","SLC","3736000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01530","Sweet potatoes","2010","2010","7021","Annual value","SLC","4333000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01530","Sweet potatoes","2011","2011","7021","Annual value","SLC","5661000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01530","Sweet potatoes","2012","2012","7021","Annual value","SLC","5969917","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01530","Sweet potatoes","2013","2013","7021","Annual value","SLC","6444000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01530","Sweet potatoes","2014","2014","7021","Annual value","SLC","6951000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01530","Sweet potatoes","2015","2015","7021","Annual value","SLC","7017000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01530","Sweet potatoes","2016","2016","7021","Annual value","SLC","8197000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01530","Sweet potatoes","2017","2017","7021","Annual value","SLC","8859000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01530","Sweet potatoes","2018","2018","7021","Annual value","SLC","9252538","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01530","Sweet potatoes","2019","2019","7021","Annual value","SLC","9777735.4","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01530","Sweet potatoes","2020","2020","7021","Annual value","SLC","10192875.8","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01530","Sweet potatoes","2021","2021","7021","Annual value","SLC","12382462.4","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01530","Sweet potatoes","2022","2022","7021","Annual value","SLC","10891154.7","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01530","Sweet potatoes","2023","2023","7021","Annual value","SLC","12029426.6","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01620","Tea leaves","2008","2008","7021","Annual value","SLC","3568000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01620","Tea leaves","2009","2009","7021","Annual value","SLC","4222000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01620","Tea leaves","2010","2010","7021","Annual value","SLC","4625000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01620","Tea leaves","2011","2011","7021","Annual value","SLC","5658000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01620","Tea leaves","2012","2012","7021","Annual value","SLC","6472083.3","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01620","Tea leaves","2013","2013","7021","Annual value","SLC","6663000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01620","Tea leaves","2014","2014","7021","Annual value","SLC","7078000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01620","Tea leaves","2015","2015","7021","Annual value","SLC","7452000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01620","Tea leaves","2016","2016","7021","Annual value","SLC","7778000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01620","Tea leaves","2017","2017","7021","Annual value","SLC","8166000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01620","Tea leaves","2018","2018","7021","Annual value","SLC","8525587","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01620","Tea leaves","2019","2019","7021","Annual value","SLC","9607780.4","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01620","Tea leaves","2020","2020","7021","Annual value","SLC","11185383.6","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01620","Tea leaves","2021","2021","7021","Annual value","SLC","23600384.7","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01620","Tea leaves","2022","2022","7021","Annual value","SLC","9473871.2","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01620","Tea leaves","2023","2023","7021","Annual value","SLC","9653662.3","A","Official figure"
